gen,inventor,assignee,location,id,similarity,claims,root
2,62.0,20.0,17.0,33.0,0.2441170126680405,14.129032258064516,4765754
3,357.0,91.0,75.0,207.0,0.24828752050222444,14.8099173553719,4765754
1,6.0,2.0,2.0,3.0,0.19896585245927176,19.0,5653936
2,5.0,3.0,3.0,3.0,0.2595301816860835,15.333333333333336,5653936
3,1.0,1.0,1.0,1.0,0.5763159394264221,21.0,5653936
1,9.0,4.0,4.0,4.0,0.2439991775900125,21.5,5911152
2,53.0,20.0,14.0,42.0,0.25436284251156305,15.666666666666664,5911152
3,707.0,146.0,105.0,559.0,0.20513578270306476,20.39730134932534,5911152
1,12.0,5.0,5.0,6.0,0.4202812438209851,19.33333333333333,5398313
2,264.0,54.0,40.0,146.0,0.1557626160091325,22.397260273972602,5398313
3,8256.0,865.0,491.0,5640.0,0.220489615306932,22.50946372239748,5398313
1,135.0,30.0,22.0,84.0,0.12990226439155994,17.55952380952381,6230319
2,953.0,156.0,127.0,615.0,0.2040546247870204,19.726878612716764,6230319
3,7347.0,818.0,483.0,5312.0,0.2124716288628659,21.942988597719545,6230319
1,9.0,3.0,3.0,7.0,0.18924926540681292,19.0,4873049
2,65.0,18.0,16.0,31.0,0.2992045079027453,14.290322580645164,4873049
3,325.0,68.0,60.0,154.0,0.27434947452722835,15.211538461538463,4873049
1,26.0,12.0,12.0,12.0,0.24709168821573255,18.416666666666668,4893005
2,391.0,131.0,110.0,197.0,0.2143625213266021,22.691919191919194,4893005
3,5680.0,1054.0,779.0,4790.0,0.2105907599402768,20.74871310011556,4893005
1,9.0,3.0,3.0,3.0,0.2339992423852285,10.333333333333334,5186355
2,18.0,8.0,8.0,8.0,0.18357888143509624,15.25,5186355
3,522.0,121.0,112.0,295.0,0.21789122924567933,20.69796954314721,5186355
1,10.0,3.0,3.0,3.0,0.29159511129061383,29.0,4513641
2,8.0,2.0,2.0,2.0,0.5354656428098679,20.0,4513641
3,3.0,1.0,1.0,1.0,0.38841766119003296,15.0,4513641
1,11.0,6.0,5.0,7.0,0.17696248101336615,15.714285714285715,5283658
