"","patent_id","num_citations"
"344",5520700,1214
"345",5522899,930
"346",5523520,3899
"347",5527293,921
"348",5529235,1235
"349",5530101,1453
"350",5530852,912
"351",5531744,1304
"352",5533661,1006
"353",5535934,1076
"354",5535935,1017
"355",5535937,1092
"356",5540375,962
"357",5542594,1154
"358",5544347,958
"359",5545806,1063
"360",5545807,890
"361",5549584,893
"362",5549628,1021
"363",5549637,929
"364",5549679,886
"365",5550677,905
"366",5551622,861
"367",5553765,1027
"368",5554169,1011
"369",5557518,947
"370",5558671,1238
"371",5560532,1177
"372",5562239,1082
"373",5562241,1054
"374",5562682,891
"375",5564615,1300
"376",5568806,948
"377",5569186,1351
"378",5569815,1197
"379",5569825,947
"380",5570315,953
"381",5571100,940
"382",5571116,1370
"383",5572643,1938
"384",5573543,908
"385",5575799,1242
"386",5575803,1006
"387",5576474,1193
"388",5577188,1275
"389",5577654,1211
"390",5582184,1028
"391",5582611,1086
"392",5582617,1011
"393",5584425,924
"394",5585089,1593
"395",5586553,1217
"396",5586711,979
"397",5588432,966
"398",5588579,968
"399",5588580,966
"400",5588581,1063
"401",5589892,1128
"402",5590038,1018
"403",5590197,920
"404",5592551,999
"405",5593852,1298
"406",5594469,903
"407",5597107,1334
"408",5599350,889
"409",5600364,1030
"410",5601224,1322
"411",5607094,902
"412",5607095,936
"413",5608786,1214
"414",5608872,1318
"415",5609285,999
"416",5609635,927
"417",5610683,1057
"418",5613012,947
"419",5616876,934
"420",5620452,930
"421",5624452,1370
"422",5625126,881
"423",5626587,992
"424",5628446,962
"425",5628890,1054
"426",5629980,1357
"427",5629981,939
"428",5630539,1046
"429",5630540,1032
"430",5632432,1397
"431",5632433,927
"432",5633425,909
"433",5634012,955
"434",5634584,1072
"435",5636643,1056
"436",5636780,991
"437",5638443,928
"438",5639008,959
"439",5643826,1266
"440",5645081,996
"441",5645209,938
"442",5645599,1029
"443",5647526,970
"444",5647869,1048
"445",5649104,1265
"446",5649937,921
"447",5651491,876
"448",5652412,974
"449",5653373,938
"450",5653374,1142
"451",5655698,1145
"452",5655961,1572
"453",5657921,944
"454",5658281,881
"455",5658300,1043
"456",5660163,1099
"457",5661506,1161
"458",5662258,1068
"459",5662260,1038
"460",5662662,1175
"461",5664115,987
"462",5665065,916
"463",5665085,894
"464",5665122,885
"465",5667517,1230
"466",5667526,895
"467",5669544,1045
"468",5669918,889
"469",5670935,918
"470",5673840,1235
"471",5673841,1279
"472",5674296,930
"473",5677955,1173
"474",5680981,1002
"475",5680982,1085
"476",5682886,931
"477",5687322,909
"478",5688270,1104
"479",5690269,1117
"480",5692073,1009
"481",5692668,1145
"482",5693051,1018
"483",5693762,1248
"484",5695504,1346
"485",5697909,1010
"486",5699528,1200
"487",5700270,879
"488",5702408,868
"489",5702409,967
"490",5703436,977
"491",5704534,1471
"492",5707400,905
"493",5707745,987
"494",5708780,1250
"495",5709680,1222
"496",5710887,1594
"497",5711472,1107
"498",5711861,877
"499",5713505,1112
"500",5713896,1003
"501",5715314,1468
"502",5715403,1310
"503",5715450,1254
"504",5715987,988
"505",5716366,1319
"506",5717923,906
"507",5720744,929
"508",5721827,1152
"509",5722891,945
"510",5724424,1123
"511",5724521,1614
"512",5725536,1145
"513",5725554,1086
"514",5731856,3194
"515",5732074,880
"516",5732400,862
"517",5732871,877
"518",5732872,1055
"519",5735848,1324
"520",5740549,1812
"521",5742905,1739
"522",5743262,1047
"523",5743456,1081
"524",5744305,976
"525",5744864,3097
"526",5749893,1003
"527",5752644,1010
"528",5752965,972
"529",5754938,1058
"530",5754939,1569
"531",5755717,977
"532",5757917,875
"533",5758257,1414
"534",5758328,897
"535",5758814,893
"536",5761419,1203
"537",5762255,1207
"538",5762256,1132
"539",5762552,1012
"540",5765152,1178
"541",5768192,974
"542",5768382,1137
"543",5769716,980
"544",5769892,921
"545",5770533,1224
"546",5772586,947
"547",5773683,1630
"548",5774170,900
"549",5774643,1028
"550",5774660,1431
"551",5774668,968
"552",5776130,914
"553",5778395,1112
"554",5779130,1248
"555",5779131,883
"556",5779132,980
"557",5779549,935
"558",5782396,1206
"559",5782397,1244
"560",5788573,1136
"561",5790790,945
"562",5791344,1213
"563",5792135,1267
"564",5792165,1116
"565",5794207,1973
"566",5794210,1568
"567",5794219,873
"568",5796952,1419
"569",5797536,999
"570",5797537,1251
"571",5797538,992
"572",5798785,879
"573",5799857,1100
"574",5800420,1089
"575",5802364,915
"576",5802492,888
"577",5807375,1066
"578",5807393,1005
"579",5809285,948
"580",5810811,1359
"581",5810855,1204
"582",5813009,1142
"583",5814055,880
"584",5814057,901
"585",5816471,874
"586",5816918,1358
"587",5817084,935
"588",5817093,987
"589",5817119,988
"590",5819038,1172
"591",5819292,864
"592",5820009,1149
"593",5821937,1336
"594",5822715,1268
"595",5823066,951
"596",5823874,1175
"597",5824049,965
"598",5825043,985
"599",5825352,1660
"600",5826241,977
"601",5826776,1122
"602",5827271,930
"603",5829662,1023
"604",5831610,1234
"605",5833537,912
"606",5833603,1082
"607",5833690,1062
"608",5833695,1319
"609",5835079,971
"610",5835087,1305
"611",5835896,1089
"612",5836503,880
"613",5839639,1015
"614",5840081,972
"615",5845265,917
"616",5845266,909
"617",5848373,860
"618",5848396,1906
"619",5848932,1310
"620",5850009,1594
"621",5850218,1154
"622",5851148,874
"623",5851149,962
"624",5852434,1062
"625",5855311,1009
"626",5855583,1114
"627",5855601,1277
"628",5860974,872
"629",5862223,1026
"630",5862260,939
"631",5862325,1513
"632",5865361,1342
"633",5867495,860
"634",5868760,1070
"635",5870721,871
"636",5871135,1079
"637",5873096,1338
"638",5873904,959
"639",5875108,971
"640",5876401,1002
"641",5878193,1081
"642",5880411,1468
"643",5883810,901
"644",5884032,888
"645",5890138,886
"646",5890156,889
"647",5892900,2730
"648",5894979,860
"649",5897493,864
"650",5897562,1191
"651",5899855,1372
"652",5901327,867
"653",5901895,1101
"654",5908427,930
"655",5910987,1018
"656",5911353,949
"657",5915167,969
"658",5915616,1252
"659",5918014,978
"660",5918159,1159
"661",5918213,1055
"662",5918603,868
"663",5918791,1079
"664",5919198,896
"665",5923962,924
"666",5925021,1004
