id,num_edge,num_patents,edge_density,unq_assignees,unq_inventors,unq_loc,avg_claims,avg_sim
5956237,28,28,1.0,17,46,18,16.571428571428573,0.2321116030216217
5434503,646,509,1.269155206286837,119,753,108,15.448818897637794,0.25696656610383545
4840139,1991,1510,1.318543046357616,376,2419,286,18.242384105960266,0.22188510116431084
4264270,144,109,1.3211009174311927,48,211,48,15.275229357798166,0.21377442637458444
4242872,1731,1187,1.4582982308340353,448,1750,392,18.724050632911393,0.2415414054271163
5045384,606,420,1.4428571428571428,123,478,105,19.172248803827753,0.1943148661546237
5252307,81,81,1.0,22,77,25,16.617283950617285,0.14256351746986679
4434952,523,269,1.9442379182156133,139,413,136,18.222641509433963,0.26453182608402026
5373839,59,57,1.0350877192982457,29,81,30,18.526315789473685,0.22986252081848807
5177609,761,607,1.2537067545304779,184,847,136,18.91846921797005,0.22838084634917247
4813382,333,296,1.125,38,251,41,12.482993197278912,0.15612323708026796
4211692,2164,1573,1.375715193897012,559,2462,434,21.27469725940089,0.2893629022641538
5627888,7924,5155,1.5371483996120272,825,6572,466,22.345063538611925,0.2218122296037053
5509467,19,19,1.0,5,17,7,18.736842105263158,0.29016649958334473
5067329,214,162,1.3209876543209877,90,217,85,16.925925925925927,0.22129114440459513
5338228,134,115,1.1652173913043478,59,230,60,17.139130434782608,0.2470117208700794
5361247,2289,1800,1.2716666666666667,369,2363,263,17.99552071668533,0.23531057119696772
5137247,2396,944,2.538135593220339,212,944,194,21.758218451749734,0.28840803375977064
6006588,15,15,1.0,9,28,8,21.133333333333333,0.23576611876487732
6016920,12,8,1.5,3,5,3,17.5,0.24306958355009556
4148279,414,405,1.0222222222222221,59,304,60,22.737623762376238,0.22247835417876496
4460058,576,424,1.3584905660377358,148,675,131,13.127358490566039,0.2796638190371191
5711833,229,160,1.43125,68,288,65,17.13125,0.28878980123450143
6295816,1270,940,1.351063829787234,169,1530,167,17.712460063897762,0.26767995919680265
5049202,45,34,1.3235294117647058,24,58,25,19.823529411764707,0.27291710923115414
4186311,831,543,1.5303867403314917,260,835,232,18.793357933579337,0.2642709653218647
4848049,271,234,1.1581196581196582,133,326,126,18.047210300429185,0.2632800898208829
4642208,1889,1301,1.4519600307455802,246,1904,187,19.13153846153846,0.2406245939356663
4434740,110,100,1.1,71,151,74,16.09,0.2496083838018504
5399074,21197,4291,4.939874155208576,987,4953,708,19.513545072396077,0.2658707191123651
6122635,1489,894,1.6655480984340045,227,1274,152,24.161616161616163,0.22448938498129634
4750370,231,179,1.2905027932960893,106,363,96,18.07262569832402,0.21865662247410197
5409081,191,137,1.3941605839416058,97,187,93,15.562043795620438,0.26512150583466937
5356003,669,317,2.110410094637224,184,453,174,18.08832807570978,0.2500818684608056
