num_roots,num_fine_roots,num_patents,total_citation,avg_citation
1,1,9,202,22.444444444444443
4,8,24,872,36.333333333333336
4,6,18,628,34.888888888888886
2,5,15,165,11.0
2,3,3,6,2.0
2,2,4,96,24.0
2,3,7,28,4.0
3,3,10,109,10.9
4,14,101,1657,16.405940594059405
5,5,11,104,9.454545454545455
4,7,8,151,18.875
4,10,23,457,19.869565217391305
3,3,17,125,7.352941176470588
3,4,34,241,7.088235294117647
2,4,11,191,17.363636363636363
1,1,2,4,2.0
1,2,5,20,4.0
4,6,29,479,16.517241379310345
3,6,22,283,12.863636363636363
1,1,2,16,8.0
1,1,1,1,1.0
6,21,267,4210,15.767790262172285
6,8,18,297,16.5
4,12,58,381,6.568965517241379
2,2,8,145,18.125
2,3,9,62,6.888888888888889
1,1,8,81,10.125
2,2,4,41,10.25
2,4,11,52,4.7272727272727275
3,9,48,300,6.25
5,7,87,3882,44.62068965517241
2,6,132,2661,20.15909090909091
3,3,10,31,3.1
5,11,43,200,4.651162790697675
2,2,3,9,3.0
6,15,82,877,10.695121951219512
1,1,4,9,2.25
2,7,20,278,13.9
3,3,59,790,13.389830508474576
2,5,174,21402,123.0
4,13,75,2087,27.826666666666668
2,3,10,220,22.0
3,5,47,391,8.319148936170214
4,7,60,867,14.45
5,14,44,1033,23.477272727272727
4,7,23,217,9.434782608695652
1,3,25,918,36.72
3,4,10,167,16.7
2,3,12,86,7.166666666666667
4,4,23,778,33.82608695652174
3,6,27,400,14.814814814814815
1,2,4,18,4.5
2,4,19,264,13.894736842105264
4,8,15,74,4.933333333333334
3,6,21,131,6.238095238095238
2,2,5,7,1.4
6,22,712,29304,41.157303370786515
1,1,2,2,1.0
1,1,8,105,13.125
6,11,26,94,3.6153846153846154
2,3,11,80,7.2727272727272725
6,12,39,667,17.102564102564102
1,2,36,286,7.944444444444445
3,3,5,120,24.0
3,4,14,127,9.071428571428571
4,7,14,141,10.071428571428571
4,6,12,147,12.25
4,10,73,1053,14.424657534246576
4,11,142,3600,25.35211267605634
3,4,22,309,14.045454545454545
4,9,24,322,13.416666666666666
4,5,13,102,7.846153846153846
1,4,31,859,27.70967741935484
6,19,135,1012,7.496296296296296
1,1,8,57,7.125
3,4,34,736,21.647058823529413
1,1,4,11,2.75
1,3,7,261,37.285714285714285
4,7,26,124,4.769230769230769
1,1,1,4,4.0
1,3,8,311,38.875
6,13,41,311,7.585365853658536
5,7,30,585,19.5
3,4,12,206,17.166666666666668
6,25,115,2059,17.904347826086955
3,3,10,105,10.5
2,2,6,62,10.333333333333334
2,5,25,52,2.08
1,4,40,138,3.45
6,8,42,243,5.785714285714286
3,8,48,210,4.375
2,3,17,54,3.176470588235294
6,20,419,5370,12.816229116945108
1,4,4,6,1.5
4,6,18,87,4.833333333333333
4,5,9,590,65.55555555555556
5,9,19,243,12.789473684210526
5,14,36,1126,31.27777777777778
2,2,2,83,41.5
2,3,17,370,21.764705882352942
1,1,1,2,2.0
1,1,3,62,20.666666666666668
2,2,10,147,14.7
2,3,5,29,5.8
1,1,4,153,38.25
3,3,11,96,8.727272727272727
6,8,38,1168,30.736842105263158
4,5,19,161,8.473684210526315
1,1,6,16,2.6666666666666665
1,2,14,341,24.357142857142858
4,8,22,220,10.0
2,3,17,129,7.588235294117647
1,1,2,4,2.0
4,10,41,122,2.975609756097561
2,2,4,16,4.0
3,5,43,657,15.279069767441861
2,2,9,35,3.888888888888889
3,4,10,482,48.2
4,10,45,192,4.266666666666667
3,5,102,2130,20.88235294117647
5,7,9,63,7.0
4,6,14,324,23.142857142857142
4,5,10,67,6.7
