,id,lineage,similarity,hops,combination,inventor_sim
3384,8681172,6894701,0.1851055920124054,3,21,0.9644463305616137
3385,7609269,6894701,0.30403873324394226,3,21,0.9644463305616137
3386,7176941,6894701,0.4855301380157471,3,36,0.9849486021415159
3387,8830275,6239783,0.1916501820087433,2,15,0.8805435720168322
3388,7701476,6239783,0.27022331953048706,2,36,0.8175215705246708
3401,7184066,6239783,0.33133211731910706,2,28,0.8305865472654739
3441,7158148,6239783,0.17486269772052765,2,28,0.674965277203933
3487,7668398,6239783,0.210520401597023,2,21,0.7526293882388316
3488,8405581,7668398,0.2381919622421265,3,10,0.5839694863727962
3489,9354494,7668398,0.2101005017757416,3,6,0.7404534837714362
3490,7728802,6239783,0.19292491674423215,2,15,0.8861119353862389
3496,8456496,6239783,0.26543548703193665,2,15,0.8979241678464555
3498,8587621,6239783,0.21898117661476132,2,21,0.7924422212416393
3499,6681053,4136359,0.14830735325813293,1,1,0.0
3500,7911487,6681053,0.17883092164993286,2,21,0.7126894206861987
3502,8159511,6681053,0.17074769735336304,2,21,0.712444887287436
3503,7167186,6681053,0.2994491755962372,2,3,0.332406232427198
3515,7006109,6681053,0.2367728054523468,2,6,0.4997158433007917
3521,7688335,6681053,0.19534364342689514,2,3,0.3327485939302453
3533,7271816,6681053,0.17226934432983398,2,6,0.4997158433007917
3535,7492379,6681053,0.2904175817966461,2,6,0.49222575896535575
3559,8531614,6681053,0.21498794853687286,2,3,0.33312242934447184
3560,8022969,6681053,0.2001720070838928,2,1,0.0
3566,7689058,6681053,0.2153979390859604,2,3,0.3327485939302453
3570,8456496,6681053,0.1765747368335724,2,1,0.0
3572,8390646,6681053,0.21769067645072934,2,3,0.3327485939302453
3574,8294741,6681053,0.21514272689819336,2,10,0.5933147970209862
3577,8497874,6681053,0.08352519571781157,2,6,0.4939927297381715
3578,7567724,6681053,0.3219088912010193,2,6,0.4993163586900942
3579,8472748,7567724,0.3301449120044708,3,15,0.7290225854366695
3580,9836823,7567724,0.11976239085197447,3,21,0.7634373928459416
