root,combination,inventor,assignee,location
6059828,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6059828,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6207286,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6207286,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6207286,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4163383,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4163383,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4163383,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4509496,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4509496,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4509496,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5535545,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5535545,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5535545,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5099320,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5099320,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5099320,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4593467,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4593467,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4593467,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6006588,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6006588,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6006588,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4814655,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4814655,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4814655,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4765511,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4765511,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4765511,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5441354,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5441354,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5441354,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5283658,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5283658,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5283658,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5652300,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5652300,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5652300,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5793611,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5793611,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5793611,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5379914,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5379914,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5379914,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6270798,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6270798,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6270798,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4280149,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4280149,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4280149,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5310293,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5310293,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5310293,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4955990,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4955990,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4955990,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4783963,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4783963,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4783963,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4468571,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4468571,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4468571,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6215517,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6215517,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6215517,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5431133,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5431133,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5431133,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4425567,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4425567,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4425567,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5320552,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5320552,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5320552,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4513641,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4513641,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4513641,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5271406,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5271406,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5271406,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5025647,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5025647,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5025647,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6080367,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6080367,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6080367,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4972401,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4972401,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4972401,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5586802,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5586802,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5586802,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6307697,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6307697,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6307697,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5422964,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5422964,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5422964,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4816754,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4816754,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4816754,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6203247,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6203247,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6203247,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6244215,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6244215,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6244215,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5091195,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5091195,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5091195,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5531516,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5531516,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5531516,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4724606,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4724606,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4724606,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4341631,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4341631,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4341631,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5109633,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5109633,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5109633,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4339589,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4339589,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4339589,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5050247,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5050247,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5050247,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4796295,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4796295,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4796295,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4820874,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4820874,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4820874,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5590924,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5590924,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
