,inventor,related,hops,sim
82,fl:x_ln:tu-6,fl:a_ln:silverman-6,1,0.9932959605138171
83,fl:x_ln:tu-6,fl:a_ln:goldberg-19,1,0.994990579945677
84,fl:x_ln:tu-6,fl:j_ln:turner-85,1,0.9930037518641432
85,fl:x_ln:tu-6,fl:g_ln:hullender-1,1,0.9898478911274415
86,fl:x_ln:tu-6,fl:s_ln:fisher-46,1,0.9908858849010301
87,fl:x_ln:tu-6,fl:s_ln:bhattacharyay-2,1,0.9919194883508371
88,fl:x_ln:tu-6,fl:s_ln:somji-1,1,0.9899347680619579
89,fl:x_ln:tu-6,zadmbpkafg08mtr0oo9v4td67,1,0.9916484028574267
90,fl:x_ln:tu-6,fl:t_ln:kannapel-2,1,0.9939581489381442
91,fl:x_ln:tu-6,fl:b_ln:dresevic-1,1,0.9521483612200017
92,fl:x_ln:tu-6,fl:r_ln:sailor-2,1,0.9948890845973156
93,fl:x_ln:tu-6,fl:r_ln:chambers-31,2,0.9906150487023659
94,fl:x_ln:tu-6,fl:r_ln:balaz-2,2,0.9943656111192029
95,fl:x_ln:tu-6,fl:a_ln:gounares-3,2,0.9938776243787187
96,fl:x_ln:tu-6,fl:t_ln:zielinski-7,2,0.9935855287418477
97,fl:x_ln:tu-6,fl:a_ln:gounares-2,2,0.9936802156611452
98,fl:x_ln:tu-6,fl:d_ln:washington-2,3,0.44248270907993925
105,fl:x_ln:tu-6,fl:s_ln:george-38,2,0.5963172621935181
128,fl:x_ln:tu-6,fl:d_ln:mitchell-25,2,0.8943584904426378
129,fl:x_ln:tu-6,fl:g_ln:hitchcock-4,2,0.8359494134747366
130,fl:x_ln:tu-6,fl:c_ln:betrisey-1,2,0.861673441394019
131,fl:x_ln:tu-6,fl:j_ln:platt-9,2,0.8642005966254327
132,fl:x_ln:tu-6,fl:w_ln:hill-18,2,0.8519056632697648
133,fl:x_ln:tu-6,fl:j_ln:whitted-1,2,0.8576208169575121
148,fl:x_ln:tu-6,fl:c_ln:lui-4,2,0.7959499272075091
149,fl:x_ln:tu-6,fl:e_ln:tecot-1,2,0.5984604112615718
167,fl:x_ln:tu-6,fl:r_ln:cukierman-1,2,0.790264941478548
169,fl:x_ln:tu-6,fl:k_ln:farouki-2,2,0.5133550520691893
198,fl:x_ln:tu-6,fl:g_ln:flake-2,3,0.5344750091671732
252,fl:x_ln:tu-6,fl:y_ln:ke-45,3,0.5386590732765452
292,fl:x_ln:tu-6,fl:g_ln:gear-2,3,0.6517610468567957
304,fl:x_ln:tu-6,fl:m_ln:duggan-11,2,0.8030326039163321
315,fl:x_ln:tu-6,fl:d_ln:karlov-2,3,0.6373749210485089
317,fl:x_ln:tu-6,fl:a_ln:fuller-17,3,0.40203251862623035
329,fl:x_ln:tu-6,fl:k_ln:dempski-1,3,0.3278710049753937
332,fl:x_ln:tu-6,fl:j_ln:harper-74,3,0.5929327617293484
339,fl:x_ln:tu-6,fl:s_ln:hoffberg-1,3,0.45022800720796075
352,fl:x_ln:tu-6,fl:m_ln:mandella-1,3,0.43320797926563315
353,fl:x_ln:tu-6,fl:m_ln:alboszta-1,3,0.4409388125129947
354,fl:x_ln:tu-6,fl:h_ln:gonzalez-banos-1,3,0.4338662224548524
459,fl:x_ln:tu-6,fl:d_ln:burg-4,2,0.4413841059359731
471,fl:x_ln:tu-6,fl:r_ln:luengen-1,3,0.6575157384067375
477,fl:x_ln:tu-6,fl:e_ln:ray-8,3,0.44576243747745226
478,fl:x_ln:tu-6,fl:e_ln:hebenstreit-2,3,0.44175552192774026
479,fl:x_ln:tu-6,fl:p_ln:cociorva-1,3,0.4330586915692787
480,fl:x_ln:tu-6,fl:r_ln:chen-332,3,0.43976953207858016
483,fl:x_ln:tu-6,fl:m_ln:kallay-2,3,0.4852499938305792
484,fl:x_ln:tu-6,fl:p_ln:graffagnino-1,3,0.6069934428315038
485,fl:x_ln:tu-6,fl:r_ln:brunner-31,3,0.6125522176098389
522,fl:x_ln:tu-6,fl:r_ln:dighde-1,2,0.5115751208622598
580,fl:x_ln:tu-6,fl:r_ln:fernandez-9,3,0.5768465475119849
583,fl:x_ln:tu-6,fl:k_ln:silverbrook-2,3,0.5296806562211553
629,fl:x_ln:tu-6,fl:m_ln:conway-9,3,0.7848923249145434
634,fl:x_ln:tu-6,fl:t_ln:makino-75,3,0.3359627913299579
635,fl:x_ln:tu-6,fl:r_ln:miyazaki-19,3,0.5055118446682114
651,fl:x_ln:tu-6,fl:l_ln:hoffberg-borghesani-1,3,0.4389381384256982
656,fl:x_ln:tu-6,fl:g_ln:christie-7,3,0.5042452090224423
657,fl:x_ln:tu-6,fl:m_ln:matas-3,3,0.5234144860961756
658,fl:x_ln:tu-6,fl:j_ln:ciudad-1,3,0.5159013862777413
659,fl:x_ln:tu-6,fl:e_ln:misaki-3,3,0.4982016470745346
660,fl:x_ln:tu-6,fl:l_ln:bellandi-1,3,0.5096077748717678
661,fl:x_ln:tu-6,fl:s_ln:forstall-1,3,0.5166402834641984
662,fl:x_ln:tu-6,fl:k_ln:tiene-1,3,0.5095720568604634
663,fl:x_ln:tu-6,fl:r_ln:dellinger-2,3,0.5201500878505667
664,fl:x_ln:tu-6,fl:m_ln:van os-2,3,0.5447961437539843
665,fl:x_ln:tu-6,fl:s_ln:lemay-5,3,0.5312597188659863
677,fl:x_ln:tu-6,fl:i_ln:chaudhri-2,3,0.5308579077586187
678,fl:x_ln:tu-6,fl:b_ln:ording-1,3,0.5751909827395341
680,fl:x_ln:tu-6,fl:j_ln:ive-2,3,0.47872620848982994
683,fl:x_ln:tu-6,fl:r_ln:duncan-16,3,0.4886828349521959
714,fl:x_ln:tu-6,fl:f_ln:schliemann-1,3,0.6389056954295707
715,fl:x_ln:tu-6,fl:m_ln:harsh-1,3,0.6101737802970835
716,fl:x_ln:tu-6,fl:w_ln:zhang-225,2,0.6130195018585158
717,fl:x_ln:tu-6,fl:g_ln:khouzam-1,2,0.6261469668898715
725,fl:x_ln:tu-6,fl:s_ln:mathur-44,3,0.5943517322574668
747,fl:x_ln:tu-6,fl:g_ln:newell-10,2,0.31742040342142275
755,fl:x_ln:tu-6,fl:r_ln:tijssen-2,3,0.3473554061741677
756,fl:x_ln:tu-6,fl:t_ln:kukulski-2,3,0.34737077852567144
0,fl:m_ln:yamagishi-20,fl:s_ln:onodera-21,1,0.9993541862918441
1,fl:m_ln:yamagishi-20,fl:m_ln:nagaoka-16,1,0.9993318976777211
2,fl:m_ln:yamagishi-20,fl:s_ln:ishimoto-3,1,0.9994969258572266
3,fl:m_ln:yamagishi-20,fl:m_ln:yamagishi-20,0,1.0
4,fl:m_ln:yamagishi-20,fl:y_ln:hayashi-90,1,0.9989741808419422
5,fl:m_ln:yamagishi-20,fl:h_ln:itoh-41,1,0.999218580076418
37,fl:m_ln:yamagishi-20,fl:t_ln:inuzuka-11,3,0.3746792004254115
39,fl:m_ln:yamagishi-20,fl:k_ln:nakashima-22,3,0.4701962336314752
188,fl:m_ln:yamagishi-20,fl:k_ln:katsumata-4,3,0.42209041625690324
222,fl:m_ln:yamagishi-20,fl:s_ln:nakamura-132,3,0.5467443648732396
264,fl:m_ln:yamagishi-20,fl:t_ln:holcomb-4,3,0.44552651843628754
273,fl:m_ln:yamagishi-20,fl:h_ln:chiba-30,3,0.4839752830517523
274,fl:m_ln:yamagishi-20,fl:t_ln:noda-75,3,0.4863494415841283
287,fl:m_ln:yamagishi-20,fl:w_ln:zhang-225,3,0.47150244776249917
288,fl:m_ln:yamagishi-20,fl:g_ln:virdi-3,3,0.5895084276139909
318,fl:m_ln:yamagishi-20,fl:h_ln:price-22,3,0.5236967037348
329,fl:m_ln:yamagishi-20,fl:s_ln:kadono-4,3,0.35236683667213353
338,fl:m_ln:yamagishi-20,fl:i_ln:nonomura-1,3,0.5153185907436858
346,fl:m_ln:yamagishi-20,fl:a_ln:konno-3,3,0.37183065396510684
348,fl:m_ln:yamagishi-20,fl:t_ln:yamamoto-78,3,0.3817320684758613
361,fl:m_ln:yamagishi-20,fl:w_ln:yao-29,3,0.5180636607302017
362,fl:m_ln:yamagishi-20,fl:w_ln:chen-708,3,0.524275797504778
365,fl:m_ln:yamagishi-20,fl:a_ln:fadell-1,3,0.49706041255953726
393,fl:m_ln:yamagishi-20,fl:m_ln:ellis-29,3,0.4479673972630308
394,fl:m_ln:yamagishi-20,fl:e_ln:knudson-1,3,0.42304967925336
395,fl:m_ln:yamagishi-20,fl:b_ln:davis-126,3,0.4532883938080873
396,fl:m_ln:yamagishi-20,fl:w_ln:thomas-21,3,0.4306733218552702
398,fl:m_ln:yamagishi-20,fl:h_ln:kawaguchi-32,2,0.38291606044152116
399,fl:m_ln:yamagishi-20,fl:i_ln:aburano-1,2,0.3720451276624961
400,fl:m_ln:yamagishi-20,fl:k_ln:kobayashi-102,2,0.38163970819480486
401,fl:m_ln:yamagishi-20,fl:t_ln:ishikawa-173,2,0.37892182368536076
402,fl:m_ln:yamagishi-20,fl:t_ln:mochida-4,2,0.3822776137888264
414,fl:m_ln:yamagishi-20,fl:a_ln:macinnis-1,3,0.1950131651485718
434,fl:m_ln:yamagishi-20,fl:h_ln:kimura-92,3,0.5141619797890473
435,fl:m_ln:yamagishi-20,fl:s_ln:yamazaki-100,3,0.5048326496523263
436,fl:m_ln:yamagishi-20,fl:y_ln:asamura-1,3,0.4339201705979703
440,fl:m_ln:yamagishi-20,fl:d_ln:neuman-4,3,0.5277213596689101
457,fl:m_ln:yamagishi-20,fl:d_ln:baker-111,3,0.4626042002498265
468,fl:m_ln:yamagishi-20,fl:l_ln:d'luna-1,3,0.4840080309445012
487,fl:m_ln:yamagishi-20,fl:r_ln:simpson-68,3,0.5163053293284338
488,fl:m_ln:yamagishi-20,fl:k_ln:guttag-1,3,0.5133974805983597
489,fl:m_ln:yamagishi-20,fl:m_ln:asal-4,3,0.5185300978595279
495,fl:m_ln:yamagishi-20,fl:j_ln:frederiksen-8,3,0.5508329402013863
500,fl:m_ln:yamagishi-20,fl:a_ln:maeda-13,3,0.484818508376317
501,fl:m_ln:yamagishi-20,fl:m_ln:maeda-75,3,0.48146824877310035
502,fl:m_ln:yamagishi-20,fl:k_ln:yamashita-56,3,0.48241136816422026
520,fl:m_ln:yamagishi-20,fl:s_ln:komatsu-31,3,0.43926951914615153
527,fl:m_ln:yamagishi-20,fl:s_ln:ergene-1,3,0.3484986119278416
547,fl:m_ln:yamagishi-20,fl:k_ln:yamada-200,3,0.6107966520195305
560,fl:m_ln:yamagishi-20,fl:m_ln:vanover-1,3,0.48069943748519695
563,fl:m_ln:yamagishi-20,fl:d_ln:oakley-11,3,0.5111477369580313
567,fl:m_ln:yamagishi-20,fl:e_ln:jeffrey-4,3,0.4098420886067784
