from,to
5612,915
4696,2126
4696,4238
4696,2062
4238,2062
4238,2126
2126,2062
4313,1302
5290,2579
3811,58
4031,3811
4031,58
3770,1666
4556,1666
4958,1666
2631,1666
2133,1666
4556,3770
3770,2631
3770,2133
4958,3770
4556,2631
2631,2133
4958,2631
4556,2133
4958,4556
4958,2133
3256,904
3256,3103
3103,904
4082,3543
4071,3543
3543,2720
3543,2228
3543,2156
4242,3543
4082,2156
4071,2156
4242,2156
2228,2156
2720,2156
4082,4071
4242,4082
4082,2228
4082,2720
4242,4071
4242,2720
4242,2228
4071,2228
4071,2720
2720,2228
4551,790
5335,4435
5289,4937
4937,3966
5289,3966
5050,4495
4495,1586
5400,4495
5050,1586
5400,5050
5400,1586
5069,3548
5069,2425
3548,2425
4748,3403
3403,1413
3403,2420
4748,2420
2420,1413
4748,1413
2053,1394
5274,3245
5582,3245
5582,5274
3947,3468
4800,2172
2790,2172
2811,2172
4800,2790
2811,2790
4800,2811
4903,408
5064,408
3116,408
408,106
4903,3116
5064,4903
4903,106
3116,106
5064,106
5064,3116
1298,370
2742,1298
3746,1298
4827,1298
4752,1298
1298,1226
4827,3746
4827,1226
4827,370
4827,2742
4827,4752
4752,1226
4752,370
4752,3746
4752,2742
1226,370
3746,1226
2742,1226
3746,2742
2742,370
3746,370
4453,587
4453,2729
2729,587
2069,1321
3812,2069
3812,1321
4295,667
3095,210
2789,1555
1235,73
1419,603
3931,603
3931,1419
3315,1627
2436,1627
3315,2436
3377,3318
5235,3377
5235,3318
5235,1096
3377,1096
3804,2144
2144,672
3804,672
3716,3124
5367,1167
4730,1167
1861,1167
2710,1167
5508,1167
2757,1167
2757,2710
4730,2757
2757,1861
5367,2757
5508,2757
5367,2710
5508,5367
5367,4730
5367,1861
5508,4730
4730,1861
4730,2710
5508,1861
5508,2710
2710,1861
4613,391
4613,434
434,391
4414,2374
4139,2399
3613,2592
2868,2592
2592,1024
2592,2330
2592,1152
2592,1930
1930,1152
1930,1024
2868,1930
3613,1930
2330,1930
2868,1024
2868,2330
3613,2868
2868,1152
2330,1152
3613,1152
1152,1024
3613,1024
2330,1024
3613,2330
2649,405
4043,2649
5112,2649
5112,405
4043,405
5112,4043
3273,1297
4034,1297
4034,3273
5557,3263
2009,1235
2037,2009
2037,1235
1847,1279
1470,1215
4078,1470
4078,1215
3574,1166
2906,2536
4566,2906
4566,2536
3175,61
5603,317
4886,317
5603,4886
2202,822
822,568
4328,822
4328,568
4328,2202
2202,568
1098,919
1670,1424
1670,853
1670,1593
1424,853
1593,1424
1593,853
3269,2792
3269,1580
5023,3269
5023,1580
2792,1580
5023,2792
3687,705
4265,705
4265,3687
3406,1766
1279,50
693,50
3377,50
2841,50
3377,693
1279,693
2841,693
2841,1279
3377,1279
3377,2841
796,43
3747,796
1361,796
3747,43
3747,1361
1361,43
4570,2066
4570,1189
2066,1189
2618,1116
1925,1116
5583,1116
3673,1116
3673,1925
5583,1925
2618,1925
3673,2618
5583,2618
5583,3673
3714,3350
4417,4398
4417,3262
4988,4417
4417,948
3262,948
4988,948
4398,948
4988,3262
4398,3262
4988,4398
5268,1496
5268,2206
5268,1395
2206,1496
2206,1395
1496,1395
1563,411
4226,65
3160,65
2990,65
3399,65
1445,65
4226,1445
4226,3399
4226,2990
4226,3160
2990,1445
3160,1445
3399,1445
3399,3160
3399,2990
3160,2990
1681,1023
1681,1083
1083,1023
5206,3352
3304,3252
3304,2478
3304,1243
5324,3304
2478,1243
3252,1243
5324,1243
5324,2478
5324,3252
3252,2478
2071,1147
3661,2071
3146,2071
3661,3146
3146,1147
3661,1147
3780,2891
2891,2308
3780,2308
3140,2918
5062,2918
2918,69
2918,2717
3437,2918
2918,1082
3140,69
3437,3140
5062,3140
3140,2717
3140,1082
5062,69
2717,69
